giornata,team,player,position,voto,fantavoto,active,on_bench
1,ETHANANITA,Butez,P,6.0,5.0,True,False
1,ETHANANITA,Angori,D,5.5,5.5,True,False
1,ETHANANITA,Doig,D,6.0,5.5,True,False
1,ETHANANITA,Palestra,D,6.5,6.5,True,False
1,ETHANANITA,Vojvoda,D,5.5,5.5,True,False
1,ETHANANITA,Da Cunha,C,6.0,6.0,True,False
1,ETHANANITA,Loftus-Cheek,C,6.5,6.5,True,False
1,ETHANANITA,Politano,C,6.5,6.5,True,False
1,ETHANANITA,Davis K.,A,6.0,6.0,True,False
1,ETHANANITA,Lucca,A,6.0,6.0,True,False
1,ETHANANITA,Pellegrino M.,A,5.5,5.5,True,False
1,ETHANANITA,Semper,P,6.0,5.0,False,True
1,ETHANANITA,Caprile,P,7.0,8.0,False,True
1,ETHANANITA,Mina,D,7.0,11.0,False,True
1,ETHANANITA,Tiago Gabriel,D,,,False,True
1,ETHANANITA,Joao Mario,D,,,False,True
1,ETHANANITA,Tourè I.,C,6.5,6.5,False,True
1,ETHANANITA,Vlasic,C,6.5,6.5,False,True
1,ETHANANITA,Stanciu,C,,,False,True
1,ETHANANITA,Odgaard,C,6.0,6.0,False,True
1,ETHANANITA,Vlahovic,A,5.0,5.0,False,True
1,ETHANANITA,Openda,A,6.0,6.0,False,True
1,ETHANANITA,Zapata D.,A,,,False,True
1,ETERNITY,Provedel,P,6.0,5.0,True,False
1,ETERNITY,Gosens,D,6.5,6.5,True,False
1,ETERNITY,Tavares N.,D,5.5,5.5,True,False
1,ETERNITY,Pezzella Giu.,D,5.5,5.5,True,False
1,ETERNITY,Bellanova,D,6.5,6.5,True,False
1,ETERNITY,Gudmundsson A.,C,,,False,False
1,ETERNITY,Rabiot,C,6.5,6.5,True,False
1,ETERNITY,De Bruyne,C,7.0,9.0,True,False
1,ETERNITY,Saelemaekers,C,6.5,7.0,True,False
1,ETERNITY,Martinez L.,A,5.0,5.0,True,False
1,ETERNITY,Pinamonti,A,6.0,5.5,True,False
1,ETERNITY,Mandas,P,,,False,True
1,ETERNITY,Sommer,P,5.0,1.0,False,True
1,ETERNITY,Lazaro,D,6.0,6.0,False,True
1,ETERNITY,Ranieri L.,D,6.0,8.0,False,True
1,ETERNITY,Lykogiannis,D,5.5,5.5,False,True
1,ETERNITY,Lucumì,D,5.5,5.5,False,True
1,ETERNITY,Maldini,C,6.0,6.0,True,True
1,ETERNITY,McKennie,C,6.0,6.0,False,True
1,ETERNITY,Camarda,A,5.5,5.5,False,True
1,ETERNITY,Simeone,A,7.5,11.5,False,True
1,ETERNITY,Esposito F.P.,A,,,False,True
1,GOODBYE,Meret,P,,,False,False
1,GOODBYE,Valle,D,6.0,5.5,True,False
1,GOODBYE,Bremer,D,7.5,9.5,True,False
1,GOODBYE,Mancini,D,6.0,6.0,True,False
1,GOODBYE,Bastoni,D,5.5,5.5,True,False
1,GOODBYE,Konè M.,C,5.5,5.5,True,False
1,GOODBYE,Cristante,C,6.0,6.0,True,False
1,GOODBYE,El Shaarawy,C,6.0,6.0,True,False
1,GOODBYE,Yildiz,A,7.0,11.0,True,False
1,GOODBYE,Morata,A,5.5,6.0,True,False
1,GOODBYE,Lookman,A,,,False,False
1,GOODBYE,Milinkovic-Savic V.,P,5.5,4.5,True,True
1,GOODBYE,Idrissi R.,D,,,False,True
1,GOODBYE,Tsimikas,D,,,False,True
1,GOODBYE,Ziolkowski,D,,,False,True
1,GOODBYE,Ghilardi,D,,,False,True
1,GOODBYE,El Aynaoui,C,6.0,6.0,False,True
1,GOODBYE,Pellegrini Lo.,C,,,False,True
1,GOODBYE,Zielinski,C,6.0,7.0,False,True
1,GOODBYE,Kaba,C,,,False,True
1,GOODBYE,Cambiaghi,A,5.5,5.5,True,True
1,GOODBYE,Scamacca,A,,,False,True
1,SEPTWOLVES,Carnesecchi,P,6.0,5.0,True,False
1,SEPTWOLVES,Floriani Mussolini,D,,,False,False
1,SEPTWOLVES,Hien,D,6.5,6.5,True,False
1,SEPTWOLVES,Wesley,D,5.0,4.5,True,False
1,SEPTWOLVES,Folorunsho,C,6.0,6.0,True,False
1,SEPTWOLVES,Rovella,C,6.0,5.5,True,False
1,SEPTWOLVES,Zambo Anguissa,C,6.5,8.5,True,False
1,SEPTWOLVES,Orsolini,C,5.5,5.5,True,False
1,SEPTWOLVES,Castellanos,A,5.5,5.5,True,False
1,SEPTWOLVES,Ferguson E.,A,5.5,5.5,True,False
1,SEPTWOLVES,De Ketelaere,A,8.0,14.0,True,False
1,SEPTWOLVES,Cancellieri,A,5.5,5.5,False,True
1,SEPTWOLVES,Cutrone,A,5.0,5.0,False,True
1,SEPTWOLVES,Dovbyk,A,,,False,True
1,SEPTWOLVES,Bernabè,C,6.5,6.5,False,True
1,SEPTWOLVES,Guendouzi,C,5.5,5.5,False,True
1,SEPTWOLVES,Lovric,C,,,False,True
1,SEPTWOLVES,Sohm,C,5.5,5.5,False,True
1,SEPTWOLVES,Kossounou,D,6.5,6.5,True,True
1,SEPTWOLVES,Juan Jesus,D,,,False,True
1,SEPTWOLVES,Lovik,D,6.0,6.0,False,True
1,SEPTWOLVES,Rrahmani,D,,,False,True
1,SEPTWOLVES,Cabal,D,5.5,5.5,False,True
1,SEPTWOLVES,Rossi F.,P,,,False,True
1,SEPTWOLVES,Sportiello,P,,,False,True
1,XIAWA NO.92,Maignan,P,6.0,7.0,True,False
1,XIAWA NO.92,Canestrelli,D,5.0,5.0,True,False
1,XIAWA NO.92,Buongiorno,D,6.0,6.0,True,False
1,XIAWA NO.92,Valeri,D,6.0,6.0,True,False
1,XIAWA NO.92,Paz N.,C,7.0,10.0,True,False
1,XIAWA NO.92,Vandeputte,C,5.5,5.5,True,False
1,XIAWA NO.92,Zerbin,C,5.5,5.5,True,False
1,XIAWA NO.92,Collocolo,C,5.5,5.0,True,False
1,XIAWA NO.92,Rodriguez Je.,A,5.5,5.5,True,False
1,XIAWA NO.92,Esposito Se.,A,6.0,5.5,True,False
1,XIAWA NO.92,Giovane,A,6.0,6.5,True,False
1,XIAWA NO.92,Terracciano,P,6.0,7.0,False,True
1,XIAWA NO.92,Torriani,P,,,False,True
1,XIAWA NO.92,Spinazzola,D,6.5,7.5,False,True
1,XIAWA NO.92,Luperto,D,6.5,6.5,False,True
1,XIAWA NO.92,Delprato,D,5.5,5.5,False,True
1,XIAWA NO.92,Terracciano F.,D,5.5,5.5,False,True
1,XIAWA NO.92,Vasquez,D,6.0,6.0,False,True
1,XIAWA NO.92,Thuram K.,C,7.0,9.0,False,True
1,XIAWA NO.92,Oristanio,C,6.0,6.0,False,True
1,XIAWA NO.92,Fofana Y.,C,6.0,6.0,False,True
1,XIAWA NO.92,Nicolussi Caviglia,C,6.0,6.0,False,True
1,XIAWA NO.92,Laurientè,A,6.0,6.0,False,True
1,XIAWA NO.92,Dzeko,A,5.0,5.0,False,True
1,TEAM YANGTUO,De Gea,P,7.0,4.0,True,False
1,TEAM YANGTUO,Scalvini,D,7.0,9.0,True,False
1,TEAM YANGTUO,Solet,D,6.5,6.5,True,False
1,TEAM YANGTUO,Hermoso,D,6.0,6.0,True,False
1,TEAM YANGTUO,Zortea,D,5.5,5.5,True,False
1,TEAM YANGTUO,Stengs,C,,,False,False
1,TEAM YANGTUO,Tramoni M.,C,5.5,5.5,True,False
1,TEAM YANGTUO,Calhanoglu,C,7.5,11.5,True,False
1,TEAM YANGTUO,Gimenez,A,5.0,5.0,True,False
1,TEAM YANGTUO,Castro S.,A,5.5,5.5,True,False
1,TEAM YANGTUO,Stulic,A,5.5,5.5,True,False
1,TEAM YANGTUO,Martinelli T.,P,,,False,True
1,TEAM YANGTUO,Lezzerini,P,,,False,True
1,TEAM YANGTUO,Olivera,D,6.0,6.0,False,True
1,TEAM YANGTUO,Dodò,D,6.0,6.0,False,True
1,TEAM YANGTUO,Barbieri,D,,,False,True
1,TEAM YANGTUO,Locatelli,C,6.5,6.0,True,True
1,TEAM YANGTUO,Lobotka,C,6.0,6.0,False,True
1,TEAM YANGTUO,Rowe,C,6.0,6.0,False,True
1,TEAM YANGTUO,Krstovic,A,6.5,8.5,False,True
1,TEAM YANGTUO,Nkunku,A,,,False,True
1,TEAM YANGTUO,Dia,A,5.5,5.5,False,True
1,NO ONE,Falcone,P,5.5,1.5,True,False
1,NO ONE,Angelino,D,5.5,5.0,True,False
1,NO ONE,N'Dicka,D,6.0,6.0,True,False
1,NO ONE,Acerbi,D,6.0,6.0,True,False
1,NO ONE,Akanji,D,6.0,6.0,True,False
1,NO ONE,Zappacosta,D,,,False,False
1,NO ONE,Malinovskyi,C,5.5,5.0,True,False
1,NO ONE,Casadei,C,6.0,6.0,True,False
1,NO ONE,Gaetano,C,6.0,6.0,True,False
1,NO ONE,Kean,A,5.5,5.5,True,False
1,NO ONE,Dybala,A,5.5,5.5,True,False
1,NO ONE,Fruchtl,P,,,False,True
1,NO ONE,Samooja,P,,,False,True
1,NO ONE,Bisseck,D,,,False,True
1,NO ONE,Biraghi,D,6.0,6.0,True,True
1,NO ONE,Ismajli,D,6.0,5.5,False,True
1,NO ONE,Barella,C,5.5,5.5,False,True
1,NO ONE,Baturina,C,,,False,True
1,NO ONE,Samardzic,C,6.0,6.0,False,True
1,NO ONE,Fazzini,C,6.5,6.5,False,True
1,NO ONE,Ricci S.,C,6.5,6.5,False,True
1,NO ONE,Meister,A,6.0,6.0,False,True
1,NO ONE,Leao,A,,,False,True
1,NO ONE,Luvumbo,A,,,False,True
1,NO ONE,Lukaku,A,,,False,True
1,TEAM WOLFLING,Di Gregorio,P,6.0,3.0,True,False
1,TEAM WOLFLING,Dimarco,D,6.5,7.5,True,False
1,TEAM WOLFLING,Baschirotto,D,5.0,5.0,True,False
1,TEAM WOLFLING,Di Lorenzo,D,6.5,6.5,True,False
1,TEAM WOLFLING,Vazquez,C,6.0,6.0,True,False
1,TEAM WOLFLING,Mandragora,C,6.0,6.0,True,False
1,TEAM WOLFLING,McTominay,C,6.5,6.5,True,False
1,TEAM WOLFLING,Atta,C,7.0,7.0,True,False
1,TEAM WOLFLING,Douvikas,A,6.0,6.0,True,False
1,TEAM WOLFLING,Berardi,A,6.5,6.5,True,False
1,TEAM WOLFLING,Vardy,A,6.0,6.0,True,False
1,TEAM WOLFLING,Perin,P,,,False,True
1,TEAM WOLFLING,Pinsoglio,P,,,False,True
1,TEAM WOLFLING,Gatti,D,6.0,6.0,False,True
1,TEAM WOLFLING,Pavlovic,D,6.0,6.0,False,True
1,TEAM WOLFLING,Comuzzo,D,5.0,5.0,False,True
1,TEAM WOLFLING,Bianchetti,D,5.5,5.5,False,True
1,TEAM WOLFLING,Veiga D.,D,6.0,6.5,False,True
