giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
1,ETHANANITA,ETERNITY,home,1,1,D,67.0,433,0.5,2.0
1,ETERNITY,ETHANANITA,away,1,1,D,68.5,442,0.5,
1,GOODBYE,SEPTWOLVES,home,2,2,D,74.0,433,1.0,2.0
1,SEPTWOLVES,GOODBYE,away,2,2,D,73.0,343,,
1,XIAWA NO.92,TEAM YANGTUO,home,1,2,L,69.5,343,,2.0
1,TEAM YANGTUO,XIAWA NO.92,away,2,1,W,72.0,433,2.0,
1,NO ONE,TEAM WOLFLING,home,0,1,L,60.5,532,,2.0
1,TEAM WOLFLING,NO ONE,away,1,0,W,66.0,343,,
1,ZLZ AND HIS FRIENDS,WINNING MOMENT,home,1,2,L,66.5,442,,2.0
1,WINNING MOMENT,ZLZ AND HIS FRIENDS,away,2,1,W,74.0,343,,
2,SEPTWOLVES,ETHANANITA,home,1,1,D,70.0,442,,2.0
2,ETHANANITA,SEPTWOLVES,away,1,1,D,69.5,433,1.0,
2,TEAM WOLFLING,ZLZ AND HIS FRIENDS,home,2,2,D,75.5,352,,2.0
2,ZLZ AND HIS FRIENDS,TEAM WOLFLING,away,2,2,D,75.5,442,0.5,
2,TEAM YANGTUO,NO ONE,home,0,0,D,59.0,433,,2.0
2,NO ONE,TEAM YANGTUO,away,0,0,D,64.5,451,0.5,
2,ETERNITY,XIAWA NO.92,home,1,2,L,69.0,433,0.5,2.0
2,XIAWA NO.92,ETERNITY,away,2,1,W,76.5,442,2.0,
2,WINNING MOMENT,GOODBYE,home,2,0,W,74.0,433,1.0,2.0
2,GOODBYE,WINNING MOMENT,away,0,2,L,65.5,343,,
3,ETHANANITA,WINNING MOMENT,home,2,2,D,75.5,433,0.5,2.0
3,WINNING MOMENT,ETHANANITA,away,2,2,D,72.0,433,1.0,
3,GOODBYE,TEAM WOLFLING,home,0,2,L,64.0,442,1.0,2.0
3,TEAM WOLFLING,GOODBYE,away,2,0,W,74.0,343,,
3,XIAWA NO.92,SEPTWOLVES,home,1,1,D,69.5,442,1.0,2.0
3,SEPTWOLVES,XIAWA NO.92,away,1,1,D,71.5,343,,
3,ETERNITY,TEAM YANGTUO,home,3,1,W,80.0,433,1.0,2.0
3,TEAM YANGTUO,ETERNITY,away,1,3,L,66.5,343,,
3,ZLZ AND HIS FRIENDS,NO ONE,home,2,0,W,74.5,352,,2.0
3,NO ONE,ZLZ AND HIS FRIENDS,away,0,2,L,61.5,541,0.5,
4,SEPTWOLVES,ETERNITY,home,2,1,W,75.5,343,,2.0
4,ETERNITY,SEPTWOLVES,away,1,2,L,69.0,433,,
4,NO ONE,GOODBYE,home,1,1,D,67.5,442,,2.0
4,GOODBYE,NO ONE,away,1,1,D,68.0,433,0.5,
4,TEAM WOLFLING,ETHANANITA,home,3,0,W,78.0,442,3.0,2.0
4,ETHANANITA,TEAM WOLFLING,away,0,3,L,64.5,433,2.0,
4,TEAM YANGTUO,ZLZ AND HIS FRIENDS,home,1,2,L,67.5,433,0.5,2.0
4,ZLZ AND HIS FRIENDS,TEAM YANGTUO,away,2,1,W,73.0,451,1.0,
4,WINNING MOMENT,XIAWA NO.92,home,3,1,W,80.5,433,0.5,2.0
4,XIAWA NO.92,WINNING MOMENT,away,1,3,L,67.5,433,1.0,
5,ETHANANITA,NO ONE,home,1,2,L,66.5,433,0.5,2.0
5,NO ONE,ETHANANITA,away,2,1,W,75.5,442,1.0,
5,GOODBYE,ZLZ AND HIS FRIENDS,home,1,2,L,68.0,433,1.0,2.0
5,ZLZ AND HIS FRIENDS,GOODBYE,away,2,1,W,72.0,442,0.5,
5,SEPTWOLVES,TEAM YANGTUO,home,1,0,W,70.0,343,,2.0
5,TEAM YANGTUO,SEPTWOLVES,away,0,1,L,62.5,433,,
5,XIAWA NO.92,TEAM WOLFLING,home,1,0,W,71.0,433,0.5,2.0
5,TEAM WOLFLING,XIAWA NO.92,away,0,1,L,62.5,352,,
5,ETERNITY,WINNING MOMENT,home,1,0,W,70.0,433,1.0,2.0
5,WINNING MOMENT,ETERNITY,away,0,1,L,62.0,433,,
6,NO ONE,XIAWA NO.92,home,1,0,W,70.5,442,,2.0
6,XIAWA NO.92,NO ONE,away,0,1,L,65.5,433,0.5,
6,TEAM WOLFLING,ETERNITY,home,2,1,W,75.5,442,,2.0
6,ETERNITY,TEAM WOLFLING,away,1,2,L,68.5,433,,
6,TEAM YANGTUO,GOODBYE,home,1,0,W,70.5,343,,2.0
6,GOODBYE,TEAM YANGTUO,away,0,1,L,60.0,433,,
6,WINNING MOMENT,SEPTWOLVES,home,0,1,L,63.0,433,,2.0
6,SEPTWOLVES,WINNING MOMENT,away,1,0,W,70.5,343,,
6,ZLZ AND HIS FRIENDS,ETHANANITA,home,0,1,L,59.5,442,0.5,2.0
6,ETHANANITA,ZLZ AND HIS FRIENDS,away,1,0,W,68.0,433,0.5,
7,ETHANANITA,GOODBYE,home,2,2,D,74.5,433,1.0,2.0
7,GOODBYE,ETHANANITA,away,2,2,D,75.5,343,,
7,SEPTWOLVES,TEAM WOLFLING,home,2,1,W,73.5,442,0.5,2.0
7,TEAM WOLFLING,SEPTWOLVES,away,1,2,L,68.5,433,1.0,
7,XIAWA NO.92,ZLZ AND HIS FRIENDS,home,3,3,D,81.0,433,2.0,2.0
7,ZLZ AND HIS FRIENDS,XIAWA NO.92,away,3,3,D,80.0,442,0.5,
7,ETERNITY,NO ONE,home,1,1,D,70.0,433,1.0,2.0
7,NO ONE,ETERNITY,away,1,1,D,71.0,343,,
