giornata,team,player,position,voto,fantavoto,active,on_bench
1,DTE,Carnesecchi,P,6.0,5.0,True,False
1,DTE,Hien,D,6.5,6.5,True,False
1,DTE,Bastoni,D,5.5,5.5,True,False
1,DTE,Mina,D,7.0,11.0,True,False
1,DTE,Orsolini,C,5.5,5.5,True,False
1,DTE,Odgaard,C,6.0,6.0,True,False
1,DTE,De Bruyne,C,7.0,9.0,True,False
1,DTE,McTominay,C,6.5,6.5,True,False
1,DTE,Piccoli,A,5.5,5.5,True,False
1,DTE,Kean,A,5.5,5.5,True,False
1,DTE,Colombo,A,5.0,5.0,True,False
1,DTE,Rossi F.,P,,,False,True
1,DTE,Sportiello,P,,,False,True
1,DTE,Miranda J.,D,5.5,5.0,False,True
1,DTE,Obert,D,6.5,6.5,False,True
1,DTE,Lykogiannis,D,5.5,5.5,False,True
1,DTE,Heggem,D,6.0,6.0,False,True
1,DTE,Lucumì,D,5.5,5.5,False,True
1,DTE,Miller L.,C,,,False,True
1,DTE,Perrone,C,5.5,5.5,False,True
1,DTE,Frendrup,C,5.5,5.5,False,True
1,DTE,Masini,C,5.5,5.5,False,True
1,DTE,Lang,A,,,False,True
1,DTE,Cambiaghi,A,5.5,5.5,False,True
1,DTE,Stulic,A,5.5,5.5,False,True
1,SOVEREIGN83,Svilar,P,6.5,5.5,True,False
1,SOVEREIGN83,Solet,D,6.5,6.5,True,False
1,SOVEREIGN83,Hermoso,D,6.0,6.0,True,False
1,SOVEREIGN83,Comuzzo,D,5.0,5.0,True,False
1,SOVEREIGN83,Zerbin,C,5.5,5.5,True,False
1,SOVEREIGN83,Guendouzi,C,5.5,5.5,True,False
1,SOVEREIGN83,Pasalic,C,6.5,6.5,True,False
1,SOVEREIGN83,Da Cunha,C,6.0,6.0,True,False
1,SOVEREIGN83,Nkunku,A,,,False,False
1,SOVEREIGN83,Soulè,A,6.5,6.5,True,False
1,SOVEREIGN83,Douvikas,A,6.0,6.0,True,False
1,SOVEREIGN83,Gollini,P,,,False,True
1,SOVEREIGN83,Vasquez D.,P,,,False,True
1,SOVEREIGN83,Tavares N.,D,5.5,5.5,False,True
1,SOVEREIGN83,Kossounou,D,6.5,6.5,False,True
1,SOVEREIGN83,Celik,D,,,False,True
1,SOVEREIGN83,Circati,D,6.0,6.0,False,True
1,SOVEREIGN83,Vitik,D,,,False,True
1,SOVEREIGN83,Rovella,C,6.0,5.5,False,True
1,SOVEREIGN83,Casadei,C,6.0,6.0,False,True
1,SOVEREIGN83,Asllani,C,6.5,6.0,False,True
1,SOVEREIGN83,Hojlund,A,7.0,10.0,True,True
1,SOVEREIGN83,Kuhn,A,6.5,6.5,False,True
1,SOVEREIGN83,Meister,A,6.0,6.0,False,True
1,SOVEREIGN83,Jashari,C,,,False,True
1,DELI-XUJUN,Provedel,P,6.0,5.0,True,False
1,DELI-XUJUN,Joao Mario,D,,,False,False
1,DELI-XUJUN,N'Dicka,D,6.0,6.0,True,False
1,DELI-XUJUN,Mancini,D,6.0,6.0,True,False
1,DELI-XUJUN,Di Lorenzo,D,6.5,6.5,True,False
1,DELI-XUJUN,El Shaarawy,C,6.0,6.0,True,False
1,DELI-XUJUN,Modric,C,7.5,11.5,True,False
