giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
1,DTE,SOVEREIGN83,home,2,1,W,73.0,343,,2.0
1,SOVEREIGN83,DTE,away,1,2,L,69.0,343,,
1,DELI-XUJUN,BATIGOAL,home,4,0,W,84.5,442,1.0,2.0
1,BATIGOAL,DELI-XUJUN,away,0,4,L,61.0,343,,
1,ROMA SHENHUA SEMPRE,OWEN,home,2,0,W,72.5,442,1.0,2.0
1,OWEN,ROMA SHENHUA SEMPRE,away,0,2,L,60.5,532,,
1,TEAM PC,AVIOD RELEGATION FOOTBALL CLUB,home,2,2,D,75.0,433,0.5,2.0
1,AVIOD RELEGATION FOOTBALL CLUB,TEAM PC,away,2,2,D,74.5,433,0.5,
1,THE GREAT BINGO,ROMAN EMPIRE,home,1,2,L,66.0,433,1.0,2.0
1,ROMAN EMPIRE,THE GREAT BINGO,away,2,1,W,73.5,433,1.0,
2,BATIGOAL,DTE,home,1,2,L,67.5,433,1.0,2.0
2,DTE,BATIGOAL,away,2,1,W,73.5,343,,
2,AVIOD RELEGATION FOOTBALL CLUB,THE GREAT BINGO,home,2,1,W,72.5,433,1.0,2.0
2,THE GREAT BINGO,AVIOD RELEGATION FOOTBALL CLUB,away,1,2,L,69.5,433,1.0,
2,OWEN,TEAM PC,home,2,3,L,74.0,433,0.5,2.0
2,TEAM PC,OWEN,away,3,2,W,80.0,433,2.0,
2,SOVEREIGN83,ROMA SHENHUA SEMPRE,home,1,1,D,69.0,433,0.5,2.0
2,ROMA SHENHUA SEMPRE,SOVEREIGN83,away,1,1,D,68.5,442,,
2,ROMAN EMPIRE,DELI-XUJUN,home,3,1,W,80.0,442,1.0,2.0
2,DELI-XUJUN,ROMAN EMPIRE,away,1,3,L,71.5,442,2.0,
3,DTE,ROMAN EMPIRE,home,2,1,W,73.0,343,,2.0
3,ROMAN EMPIRE,DTE,away,1,2,L,68.5,343,,
3,DELI-XUJUN,AVIOD RELEGATION FOOTBALL CLUB,home,1,1,D,70.0,442,0.5,2.0
3,AVIOD RELEGATION FOOTBALL CLUB,DELI-XUJUN,away,1,1,D,69.0,433,0.5,
3,ROMA SHENHUA SEMPRE,BATIGOAL,home,1,1,D,70.5,442,,2.0
3,BATIGOAL,ROMA SHENHUA SEMPRE,away,1,1,D,68.5,433,0.5,
3,SOVEREIGN83,OWEN,home,2,2,D,72.0,433,1.0,2.0
3,OWEN,SOVEREIGN83,away,2,2,D,75.5,433,1.0,
3,THE GREAT BINGO,TEAM PC,home,3,1,W,80.5,343,,2.0
3,TEAM PC,THE GREAT BINGO,away,1,3,L,71.5,433,2.0,
4,BATIGOAL,SOVEREIGN83,home,0,2,L,63.0,433,,2.0
4,SOVEREIGN83,BATIGOAL,away,2,0,W,76.5,433,0.5,
4,TEAM PC,DELI-XUJUN,home,4,1,W,85.0,433,2.0,2.0
4,DELI-XUJUN,TEAM PC,away,1,4,L,71.5,442,1.0,
4,AVIOD RELEGATION FOOTBALL CLUB,DTE,home,2,3,L,72.5,442,,2.0
4,DTE,AVIOD RELEGATION FOOTBALL CLUB,away,3,2,W,82.5,343,,
4,OWEN,THE GREAT BINGO,home,0,2,L,61.5,433,0.5,2.0
4,THE GREAT BINGO,OWEN,away,2,0,W,75.5,343,,
4,ROMAN EMPIRE,ROMA SHENHUA SEMPRE,home,2,0,W,74.0,442,2.0,2.0
4,ROMA SHENHUA SEMPRE,ROMAN EMPIRE,away,0,2,L,62.5,442,,
5,DTE,TEAM PC,home,2,1,W,76.0,343,,2.0
5,TEAM PC,DTE,away,1,2,L,66.5,433,0.5,
5,DELI-XUJUN,THE GREAT BINGO,home,1,0,W,69.0,442,1.0,2.0
5,THE GREAT BINGO,DELI-XUJUN,away,0,1,L,55.5,433,,
5,BATIGOAL,OWEN,home,1,1,D,70.5,433,,2.0
5,OWEN,BATIGOAL,away,1,1,D,67.0,433,1.0,
5,ROMA SHENHUA SEMPRE,AVIOD RELEGATION FOOTBALL CLUB,home,2,1,W,76.5,343,,2.0
