giornata,team,player,position,voto,fantavoto,active,on_bench
1,BALZARETTI42,De Gea,P,7.0,4.0,True,False
1,BALZARETTI42,Gosens,D,6.5,6.5,True,False
1,BALZARETTI42,Ramon,D,5.5,4.5,True,False
1,BALZARETTI42,Valle,D,6.0,5.5,True,False
1,BALZARETTI42,Dodò,D,6.0,6.0,True,False
1,BALZARETTI42,Nicolussi Caviglia,C,6.0,6.0,True,False
1,BALZARETTI42,De Roon,C,7.0,7.0,True,False
1,BALZARETTI42,Sohm,C,5.5,5.5,True,False
1,BALZARETTI42,Piccoli,A,5.5,5.5,True,False
1,BALZARETTI42,De Ketelaere,A,8.0,14.0,True,False
1,BALZARETTI42,Kean,A,5.5,5.5,True,False
1,BALZARETTI42,Lezzerini,P,,,False,True
1,BALZARETTI42,Pezzella Giu.,D,5.5,5.5,False,True
1,BALZARETTI42,Comuzzo,D,5.0,5.0,False,True
1,BALZARETTI42,Collocolo,C,5.5,5.0,False,True
1,BALZARETTI42,Elmas,C,6.0,6.0,False,True
1,BALZARETTI42,Cancellieri,A,5.5,5.5,False,True
1,BALZARETTI42,Ranieri L.,D,6.0,8.0,False,True
1,BALZARETTI42,Gudmundsson A.,C,,,False,True
1,BALZARETTI42,Masini,C,5.5,5.5,False,True
1,BALZARETTI42,Ellertsson,C,5.5,5.5,False,True
1,BALZARETTI42,Canestrelli,D,5.0,5.0,False,True
1,BALZARETTI42,Martinelli T.,P,,,False,True
1,BALZARETTI42,Diao,A,,,False,True
1,BALZARETTI42,Lukaku,A,,,False,True
1,MARIO GO,Di Gregorio,P,6.0,3.0,True,False
1,MARIO GO,Dumfries,D,6.0,6.0,True,False
1,MARIO GO,Valeri,D,6.0,6.0,True,False
1,MARIO GO,Vasquez,D,6.0,6.0,True,False
1,MARIO GO,Tavares N.,D,5.5,5.5,True,False
1,MARIO GO,Orsolini,C,5.5,5.5,True,False
1,MARIO GO,Barella,C,5.5,5.5,True,False
1,MARIO GO,Vlasic,C,6.5,6.5,True,False
1,MARIO GO,Tourè I.,C,6.5,6.5,True,False
1,MARIO GO,Esposito Se.,A,6.0,5.5,True,False
1,MARIO GO,Laurientè,A,6.0,6.0,True,False
1,MARIO GO,Maignan,P,6.0,7.0,False,True
1,MARIO GO,Joao Mario,D,,,False,True
1,MARIO GO,Vazquez,C,6.0,6.0,False,True
1,MARIO GO,Da Cunha,C,6.0,6.0,False,True
1,MARIO GO,Dovbyk,A,,,False,True
1,MARIO GO,Dzeko,A,5.0,5.0,False,True
1,MARIO GO,Pedro,A,6.0,6.0,False,True
1,MARIO GO,Mandragora,C,6.0,6.0,False,True
1,MARIO GO,Zappacosta,D,,,False,True
1,MARIO GO,Rensch,D,,,False,True
1,MARIO GO,Gimenez,A,5.0,5.0,False,True
1,MARIO GO,Miranda J.,D,5.5,5.0,False,True
1,MARIO GO,Fazzini,C,6.5,6.5,False,True
1,MARIO GO,Pinsoglio,P,,,False,True
1,TEAM SITH,Svilar,P,6.5,5.5,True,False
1,TEAM SITH,Di Lorenzo,D,6.5,6.5,True,False
1,TEAM SITH,Buongiorno,D,6.0,6.0,True,False
1,TEAM SITH,Bellanova,D,6.5,6.5,True,False
1,TEAM SITH,Martin,D,6.0,6.0,True,False
1,TEAM SITH,Thuram K.,C,7.0,9.0,True,False
1,TEAM SITH,McTominay,C,6.5,6.5,True,False
1,TEAM SITH,Frendrup,C,5.5,5.5,True,False
1,TEAM SITH,Rabiot,C,6.5,6.5,True,False
1,TEAM SITH,Pinamonti,A,6.0,5.5,True,False
1,TEAM SITH,Soulè,A,6.5,6.5,True,False
1,TEAM SITH,Lookman,A,,,False,True
1,TEAM SITH,Dia,A,5.5,5.5,False,True
1,TEAM SITH,Morata,A,5.5,6.0,False,True
1,TEAM SITH,Ngonge,A,6.0,7.0,False,True
1,TEAM SITH,Locatelli,C,6.5,6.0,False,True
1,TEAM SITH,Koopmeiners,C,5.0,4.5,False,True
1,TEAM SITH,Loftus-Cheek,C,6.5,6.5,False,True
1,TEAM SITH,Isaksen,C,,,False,True
1,TEAM SITH,Romagnoli,D,5.5,5.5,False,True
1,TEAM SITH,Gatti,D,6.0,6.0,False,True
1,TEAM SITH,Gallo,D,4.5,4.5,False,True
1,TEAM SITH,Coco,D,6.5,6.5,False,True
1,TEAM SITH,Gollini,P,,,False,True
1,TEAM SITH,Vasquez D.,P,,,False,True
