giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
1,BALZARETTI42,MARIO GO,home,2,0,W,73.0,433,1.0,2.0
1,MARIO GO,BALZARETTI42,away,0,2,L,62.5,442,0.5,
1,TEAM SITH,BOSS ROMAZDA,home,2,0,W,73.0,442,1.0,2.0
1,BOSS ROMAZDA,TEAM SITH,away,0,2,L,65.5,343,,
1,SANSHIMI,TEAM CHENFENGZI,home,2,1,W,72.5,343,,2.0
1,TEAM CHENFENGZI,SANSHIMI,away,1,2,L,67.5,433,0.5,
1,X-17,MIZI-MAIGO,home,4,1,W,88.5,343,,2.0
1,MIZI-MAIGO,X-17,away,1,4,L,69.0,451,0.5,
1,XIAO SHI,TEAM BRAUNA,home,1,1,D,67.5,352,,2.0
1,TEAM BRAUNA,XIAO SHI,away,1,1,D,69.0,442,1.0,
2,BOSS ROMAZDA,BALZARETTI42,home,3,0,W,82.0,343,,2.0
2,BALZARETTI42,BOSS ROMAZDA,away,0,3,L,53.5,433,,
2,MIZI-MAIGO,XIAO SHI,home,4,0,W,87.0,451,3.0,2.0
2,XIAO SHI,MIZI-MAIGO,away,0,4,L,64.5,343,,
2,TEAM CHENFENGZI,X-17,home,2,1,W,73.0,433,0.5,2.0
2,X-17,TEAM CHENFENGZI,away,1,2,L,67.5,343,,
2,MARIO GO,SANSHIMI,home,1,1,D,71.5,442,0.5,2.0
2,SANSHIMI,MARIO GO,away,1,1,D,71.5,343,,
2,TEAM BRAUNA,TEAM SITH,home,1,2,L,71.0,433,0.5,2.0
2,TEAM SITH,TEAM BRAUNA,away,2,1,W,73.0,442,1.0,
3,BALZARETTI42,TEAM BRAUNA,home,0,0,D,65.5,433,0.5,2.0
3,TEAM BRAUNA,BALZARETTI42,away,0,0,D,65.0,433,,
3,TEAM SITH,MIZI-MAIGO,home,2,3,L,74.5,442,2.0,2.0
3,MIZI-MAIGO,TEAM SITH,away,3,2,W,82.0,442,3.0,
3,SANSHIMI,BOSS ROMAZDA,home,1,2,L,69.5,343,,2.0
3,BOSS ROMAZDA,SANSHIMI,away,2,1,W,76.0,343,,
3,MARIO GO,TEAM CHENFENGZI,home,2,1,W,74.5,442,1.0,2.0
3,TEAM CHENFENGZI,MARIO GO,away,1,2,L,68.0,433,0.5,
3,XIAO SHI,X-17,home,1,2,L,66.5,433,,2.0
3,X-17,XIAO SHI,away,2,1,W,74.0,343,,
4,BOSS ROMAZDA,MARIO GO,home,1,1,D,68.0,343,,2.0
4,MARIO GO,BOSS ROMAZDA,away,1,1,D,70.0,442,0.5,
4,X-17,TEAM SITH,home,1,2,L,66.5,343,,2.0
4,TEAM SITH,X-17,away,2,1,W,75.5,442,1.0,
4,MIZI-MAIGO,BALZARETTI42,home,3,1,W,83.5,442,4.0,2.0
4,BALZARETTI42,MIZI-MAIGO,away,1,3,L,68.5,442,,
4,TEAM CHENFENGZI,XIAO SHI,home,0,2,L,62.0,451,,2.0
4,XIAO SHI,TEAM CHENFENGZI,away,2,0,W,73.0,343,,
4,TEAM BRAUNA,SANSHIMI,home,0,2,L,64.5,433,0.5,2.0
4,SANSHIMI,TEAM BRAUNA,away,2,0,W,76.5,343,,
5,BALZARETTI42,X-17,home,1,1,D,67.0,433,0.5,2.0
5,X-17,BALZARETTI42,away,1,1,D,66.5,343,,
5,TEAM SITH,XIAO SHI,home,0,1,L,64.0,442,,2.0
5,XIAO SHI,TEAM SITH,away,1,0,W,67.5,442,,
5,BOSS ROMAZDA,TEAM CHENFENGZI,home,1,1,D,70.5,433,,2.0
5,TEAM CHENFENGZI,BOSS ROMAZDA,away,1,1,D,69.0,451,0.5,
5,SANSHIMI,MIZI-MAIGO,home,2,1,W,72.5,343,,2.0
