participant,role,player,club,costo,credits_residui
No one,P,Falcone,Lec,11.0,19.0
No one,P,Fruchtl,Lec,1.0,19.0
No one,P,Samooja,Lec,1.0,19.0
No one,D,Zappacosta,Ata,8.0,19.0
No one,D,Akanji,Int,11.0,19.0
No one,D,N'Dicka,Rom,26.0,19.0
No one,D,Angelino,Rom,25.0,19.0
No one,D,Ismajli,Tor,5.0,19.0
No one,D,Scalvini,Ata,7.0,19.0
No one,D,Bisseck,Int,10.0,19.0
No one,D,Kempf,Com,10.0,19.0
No one,C,Barella,Int,37.0,19.0
No one,C,Gaetano,Cag,9.0,19.0
No one,C,Malinovskyi,Gen,17.0,19.0
No one,C,Samardzic,Ata,5.0,19.0
No one,C,Ricci S.,Mil,5.0,19.0
No one,C,Baldanzi,Gen,2.0,19.0
No one,C,Berisha M.,Lec,6.0,19.0
No one,C,Baturina,Com,4.0,19.0
No one,A,Dybala,Rom,62.0,19.0
No one,A,Kean,Fio,80.0,19.0
No one,A,Lukaku,Nap,26.0,19.0
No one,A,Piccoli,Fio,31.0,19.0
No one,A,Leao,Mil,82.0,19.0
No one,A,Solomon,Fio,11.0,19.0
Goodbye,P,Meret,Nap,37.0,2.0
Goodbye,P,Milinkovic-Savic V.,Nap,10.0,2.0
Goodbye,P,Vasquez D.,Rom,2.0,2.0
Goodbye,D,Bastoni,Int,60.0,2.0
Goodbye,D,Mancini,Rom,35.0,2.0
Goodbye,D,Bremer,Juv,43.0,2.0
Goodbye,D,Ghilardi,Rom,2.0,2.0
Goodbye,D,Norton-Cuffy,Gen,3.0,2.0
Goodbye,D,Valle,Com,3.0,2.0
Goodbye,D,Idrissi R.,Cag,1.0,2.0
Goodbye,D,Ziolkowski,Rom,1.0,2.0
Goodbye,C,Zielinski,Int,2.0,2.0
Goodbye,C,Pellegrini Lo.,Rom,5.0,2.0
Goodbye,C,Cristante,Rom,18.0,2.0
Goodbye,C,El Shaarawy,Rom,6.0,2.0
Goodbye,C,Matic,Sas,13.0,2.0
Goodbye,C,Konè M.,Rom,40.0,2.0
Goodbye,C,Pisilli,Rom,1.0,2.0
Goodbye,C,El Aynaoui,Rom,9.0,2.0
Goodbye,A,Scamacca,Ata,60.0,2.0
Goodbye,A,Boga,Juv,3.0,2.0
Goodbye,A,Raspadori,Ata,55.0,2.0
Goodbye,A,Sulemana K.,Ata,6.0,2.0
Goodbye,A,Yildiz,Juv,80.0,2.0
Goodbye,A,Vaz,Rom,6.0,2.0
TEAM PC,P,Skorupski,Bol,18.0,4.0
Boss Romazda,P,Sportiello,Ata,1.0,167.0
TEAM PC,P,Ravaglia F.,Bol,1.0,4.0
Boss Romazda,P,Rossi F.,Ata,1.0,167.0
TEAM PC,P,Pessina Mas.,Bol,1.0,4.0
Boss Romazda,P,Carnesecchi,Ata,7.0,167.0
TEAM PC,D,Dimarco,Int,35.0,4.0
Boss Romazda,D,Juan Jesus,Nap,2.0,167.0
TEAM PC,D,Bremer,Juv,32.0,4.0
Boss Romazda,D,Kolasinac,Ata,2.0,167.0
TEAM PC,D,Kabasele,Udi,1.0,4.0
Boss Romazda,D,Baschirotto,Cre,4.0,167.0
TEAM PC,D,Lazaro,Tor,3.0,4.0
Boss Romazda,D,Carlos Augusto,Int,5.0,167.0
TEAM PC,D,Pavlovic,Mil,16.0,4.0
Boss Romazda,D,Hien,Ata,3.0,167.0
TEAM PC,D,Kamara H.,Udi,3.0,4.0
Boss Romazda,D,Bisseck,Int,4.0,167.0
TEAM PC,D,Baschirotto,Cre,11.0,4.0
Boss Romazda,D,Delprato,Par,4.0,167.0
TEAM PC,D,Norton-Cuffy,Gen,6.0,4.0
Boss Romazda,D,Heggem,Bol,5.0,167.0
TEAM PC,C,Barella,Int,46.0,4.0
Boss Romazda,C,Pulisic,Mil,62.0,167.0
TEAM PC,C,Calhanoglu,Int,34.0,4.0
Boss Romazda,C,Fagioli,Fio,4.0,167.0
TEAM PC,C,Matic,Sas,5.0,4.0
Boss Romazda,C,Brescianini,Fio,5.0,167.0
TEAM PC,C,Zambo Anguissa,Nap,50.0,4.0
Boss Romazda,C,Tramoni M.,Pis,6.0,167.0
TEAM PC,C,Ellertsson,Gen,5.0,4.0
Boss Romazda,C,Thorstvedt,Sas,3.0,167.0
TEAM PC,C,Oristanio,Par,9.0,4.0
Boss Romazda,C,Casadei,Tor,6.0,167.0
TEAM PC,C,Atta,Udi,11.0,4.0
Boss Romazda,C,Rowe,Bol,5.0,167.0
TEAM PC,C,Sucic P.,Int,21.0,4.0
Boss Romazda,C,Ondrejka,Par,2.0,167.0
TEAM PC,A,Zapata D.,Tor,3.0,4.0
Boss Romazda,A,Pinamonti,Sas,14.0,167.0
TEAM PC,A,Pinamonti,Sas,28.0,4.0
Boss Romazda,A,Simeone,Tor,4.0,167.0
TEAM PC,A,Davis K.,Udi,36.0,4.0
Boss Romazda,A,Martinez L.,Int,61.0,167.0
TEAM PC,A,Dia,Laz,16.0,4.0
Boss Romazda,A,David,Juv,69.0,167.0
TEAM PC,A,Banda,Lec,6.0,4.0
Boss Romazda,A,Hojlund,Nap,63.0,167.0
TEAM PC,A,Castro S.,Bol,33.0,4.0
Boss Romazda,A,Kulenovic,Tor,2.0,167.0
DTE,P,Sportiello,Ata,1.0,5.0
DTE,P,Rossi F.,Ata,1.0,5.0
DTE,P,Carnesecchi,Ata,30.0,5.0
DTE,D,Mina,Cag,3.0,5.0
DTE,D,Gabbia,Mil,4.0,5.0
DTE,D,Miranda J.,Bol,9.0,5.0
DTE,D,Parisi,Fio,2.0,5.0
DTE,D,Bartesaghi,Mil,21.0,5.0
DTE,D,Palestra,Cag,27.0,5.0
DTE,D,Solet,Udi,16.0,5.0
DTE,D,Heggem,Bol,2.0,5.0
DTE,C,Locatelli,Juv,22.0,5.0
DTE,C,Mazzitelli,Cag,8.0,5.0
DTE,C,De Bruyne,Nap,76.0,5.0
DTE,C,Odgaard,Bol,31.0,5.0
DTE,C,McTominay,Nap,93.0,5.0
DTE,C,Frendrup,Gen,4.0,5.0
DTE,C,Ekkelenkamp,Udi,4.0,5.0
DTE,C,Vergara,Nap,11.0,5.0
DTE,A,Kean,Fio,82.0,5.0
DTE,A,Vardy,Cre,16.0,5.0
DTE,A,Cambiaghi,Bol,5.0,5.0
DTE,A,Malen,Rom,82.0,5.0
DTE,A,De Ketelaere,Ata,51.0,5.0
DTE,A,Adams C.,Tor,10.0,5.0
SEPTWOLVES,P,Sportiello,Ata,1.0,24.0
Owen,P,Meret,Nap,44.0,0.0
SEPTWOLVES,P,Carnesecchi,Ata,32.0,24.0
Owen,P,Milinkovic-Savic V.,Nap,12.0,0.0
SEPTWOLVES,P,Martinez Jo.,Int,5.0,24.0
Owen,P,Contini,Nap,1.0,0.0
SEPTWOLVES,D,Juan Jesus,Nap,2.0,24.0
Owen,D,Zappacosta,Ata,6.0,0.0
SEPTWOLVES,D,Rrahmani,Nap,34.0,24.0
Owen,D,Marusic,Laz,5.0,0.0
SEPTWOLVES,D,Maripan,Tor,5.0,24.0
Owen,D,Zappa,Cag,4.0,0.0
SEPTWOLVES,D,Kossounou,Ata,19.0,24.0
Owen,D,Vojvoda,Com,14.0,0.0
SEPTWOLVES,D,Gatti,Juv,3.0,24.0
Owen,D,Vasquez,Gen,17.0,0.0
SEPTWOLVES,D,Cabal,Juv,2.0,24.0
Owen,D,Valeri,Par,17.0,0.0
SEPTWOLVES,D,Coco,Tor,6.0,24.0
Owen,D,Valle,Com,14.0,0.0
SEPTWOLVES,D,Wesley,Rom,38.0,24.0
Owen,D,Ramon,Com,13.0,0.0
SEPTWOLVES,C,Cataldi,Laz,7.0,24.0
Owen,C,Pulisic,Mil,79.0,0.0
SEPTWOLVES,C,Orsolini,Bol,85.0,24.0
Owen,C,Gaetano,Cag,8.0,0.0
SEPTWOLVES,C,Zambo Anguissa,Nap,50.0,24.0
Owen,C,Strefezza,Par,7.0,0.0
SEPTWOLVES,C,Strefezza,Par,12.0,24.0
Owen,C,Ederson D.S.,Ata,22.0,0.0
SEPTWOLVES,C,Kostic,Juv,15.0,24.0
Owen,C,Folorunsho,Cag,7.0,0.0
SEPTWOLVES,C,McKennie,Juv,9.0,24.0
Owen,C,Isaksen,Laz,12.0,0.0
SEPTWOLVES,C,Coulibaly L.,Lec,6.0,24.0
Owen,C,Vandeputte,Cre,7.0,0.0
SEPTWOLVES,C,Bernabè,Par,6.0,24.0
Owen,C,Taylor K.,Laz,14.0,0.0
SEPTWOLVES,A,Vardy,Cre,9.0,24.0
Owen,A,Simeone,Tor,4.0,0.0
SEPTWOLVES,A,Moreo,Pis,7.0,24.0
Owen,A,Leao,Mil,83.0,0.0
SEPTWOLVES,A,Cancellieri,Laz,2.0,24.0
Owen,A,Colombo,Gen,4.0,0.0
SEPTWOLVES,A,De Ketelaere,Ata,45.0,24.0
Owen,A,Laurientè,Sas,20.0,0.0
SEPTWOLVES,A,Ferguson E.,Rom,65.0,24.0
Owen,A,Douvikas,Com,36.0,0.0
SEPTWOLVES,A,Dovbyk,Rom,18.0,24.0
Owen,A,Giovane,Nap,3.0,0.0
Roman Empire,P,Maignan,Mil,27.0,57.0
Winning Moment,P,Gollini,Rom,1.0,2.0
Roman Empire,P,Caprile,Cag,4.0,57.0
Winning Moment,P,Svilar,Rom,46.0,2.0
Roman Empire,P,Suzuki,Par,16.0,57.0
Winning Moment,P,Zelezny,Rom,1.0,2.0
Roman Empire,D,Akanji,Int,13.0,57.0
Winning Moment,D,Celik,Rom,13.0,2.0
Roman Empire,D,Celik,Rom,6.0,57.0
Winning Moment,D,Tomori,Mil,27.0,2.0
Roman Empire,D,Tsimikas,Rom,2.0,57.0
Winning Moment,D,Kalulu,Juv,27.0,2.0
Roman Empire,D,Holm,Juv,7.0,57.0
Winning Moment,D,Estupinan,Mil,28.0,2.0
Roman Empire,D,Rensch,Rom,12.0,57.0
Winning Moment,D,Moreno Alb.,Com,1.0,2.0
Roman Empire,D,Wesley,Rom,29.0,57.0
Winning Moment,D,Carlos Augusto,Int,17.0,2.0
Roman Empire,D,Belghali,Ver,9.0,57.0
Winning Moment,D,Bartesaghi,Mil,29.0,2.0
Roman Empire,D,Arizala,Udi,1.0,57.0
Winning Moment,D,Kelly L.,Juv,18.0,2.0
Roman Empire,C,Pellegrini Lo.,Rom,9.0,57.0
Winning Moment,C,Pasalic,Ata,31.0,2.0
Roman Empire,C,Politano,Nap,63.0,57.0
Winning Moment,C,Modric,Mil,30.0,2.0
Roman Empire,C,Rabiot,Mil,34.0,57.0
Winning Moment,C,Elmas,Nap,5.0,2.0
Roman Empire,C,Zaniolo,Udi,9.0,57.0
Winning Moment,C,Koopmeiners,Juv,7.0,2.0
Roman Empire,C,Zalewski,Ata,23.0,57.0
Winning Moment,C,Perrone,Com,4.0,2.0
Roman Empire,C,Konè M.,Rom,41.0,57.0
Winning Moment,C,Isaksen,Laz,6.0,2.0
Roman Empire,C,Volpato,Sas,4.0,57.0
Winning Moment,C,Adzic,Juv,1.0,2.0
Roman Empire,C,Zaragoza,Rom,26.0,57.0
