giornata,team,player,position,voto,fantavoto,active,on_bench
1,NEVER IWOMAN,Svilar,P,6.5,5.5,True,False
1,NEVER IWOMAN,Tavares N.,D,5.5,5.5,True,False
1,NEVER IWOMAN,Buongiorno,D,6.0,6.0,True,False
1,NEVER IWOMAN,Bremer,D,7.5,9.5,True,False
1,NEVER IWOMAN,Ramon,D,5.5,4.5,True,False
1,NEVER IWOMAN,Zalewski,C,7.5,11.5,True,False
1,NEVER IWOMAN,Harroui,C,,,False,False
1,NEVER IWOMAN,Saelemaekers,C,6.5,7.0,True,False
1,NEVER IWOMAN,Rodriguez Je.,A,5.5,5.5,True,False
1,NEVER IWOMAN,Belotti,A,5.5,5.5,True,False
1,NEVER IWOMAN,Vardy,A,6.0,6.0,True,False
1,NEVER IWOMAN,Piccoli,A,5.5,5.5,False,True
1,NEVER IWOMAN,Simeone,A,7.5,11.5,False,True
1,NEVER IWOMAN,Isaksen,C,,,False,True
1,NEVER IWOMAN,Stanciu,C,,,False,True
1,NEVER IWOMAN,Odgaard,C,6.0,6.0,True,True
1,NEVER IWOMAN,Cristante,C,6.0,6.0,False,True
1,NEVER IWOMAN,Gronbaek,C,,,False,True
1,NEVER IWOMAN,Rensch,D,,,False,True
1,NEVER IWOMAN,Wesley,D,5.0,4.5,False,True
1,NEVER IWOMAN,Carlos Augusto,D,6.5,7.5,False,True
1,NEVER IWOMAN,Tiago Gabriel,D,,,False,True
1,NEVER IWOMAN,Vasquez D.,P,,,False,True
1,NEVER IWOMAN,Gollini,P,,,False,True
1,NEVER IWOMAN,Leao,A,,,False,True
1,ROMAZDA,Provedel,P,6.0,5.0,True,False
1,ROMAZDA,Miranda J.,D,5.5,5.0,True,False
1,ROMAZDA,Terracciano F.,D,5.5,5.5,True,False
1,ROMAZDA,Marusic,D,6.0,5.5,True,False
1,ROMAZDA,El Shaarawy,C,6.0,6.0,True,False
1,ROMAZDA,Tramoni M.,C,5.5,5.5,True,False
1,ROMAZDA,Atta,C,7.0,7.0,True,False
1,ROMAZDA,Zaniolo,C,5.5,5.5,True,False
1,ROMAZDA,Yildiz,A,7.0,11.0,True,False
1,ROMAZDA,Castellanos,A,5.5,5.5,True,False
1,ROMAZDA,Dia,A,5.5,5.5,True,False
1,ROMAZDA,Lang,A,,,False,True
1,ROMAZDA,Bonny,A,5.5,5.5,False,True
1,ROMAZDA,Esposito F.P.,A,,,False,True
1,ROMAZDA,Gudmundsson A.,C,,,False,True
1,ROMAZDA,El Aynaoui,C,6.0,6.0,False,True
1,ROMAZDA,Casadei,C,6.0,6.0,False,True
1,ROMAZDA,Bailey,C,,,False,True
1,ROMAZDA,Olivera,D,6.0,6.0,False,True
1,ROMAZDA,Joao Mario,D,,,False,True
1,ROMAZDA,Bisseck,D,,,False,True
1,ROMAZDA,Tsimikas,D,,,False,True
1,ROMAZDA,Gutierrez,D,,,False,True
1,ROMAZDA,Mandas,P,,,False,True
1,ROMAZDA,Audero,P,7.5,8.5,False,True
1,OLD LIN,De Gea,P,7.0,4.0,True,False
1,OLD LIN,Zappacosta,D,,,False,False
1,OLD LIN,Baschirotto,D,5.0,5.0,True,False
1,OLD LIN,Zappa,D,6.0,5.5,True,False
1,OLD LIN,Vazquez,C,6.0,6.0,True,False
1,OLD LIN,Koopmeiners,C,5.0,4.5,True,False
1,OLD LIN,De Bruyne,C,7.0,9.0,True,False
1,OLD LIN,Orsolini,C,5.5,5.5,True,False
1,OLD LIN,De Ketelaere,A,8.0,15.0,True,False
1,OLD LIN,Martinez L.,A,5.0,5.0,True,False
1,OLD LIN,Berardi,A,6.5,6.5,True,False
1,OLD LIN,Martinelli T.,P,,,False,True
1,OLD LIN,Lezzerini,P,,,False,True
1,OLD LIN,Unai Nunez,D,6.5,6.5,True,True
1,OLD LIN,Doig,D,6.0,5.5,False,True
1,OLD LIN,Circati,D,6.0,6.0,False,True
1,OLD LIN,Pongracic,D,5.0,5.0,False,True
1,OLD LIN,Ismajli,D,6.0,5.5,False,True
1,OLD LIN,Sohm,C,5.5,5.5,False,True
1,OLD LIN,Carboni V.,C,6.5,6.5,False,True
1,OLD LIN,Tete Morente,C,5.0,5.0,False,True
1,OLD LIN,Prati,C,6.0,6.0,False,True
1,OLD LIN,Sanabria,A,5.5,5.5,False,True
1,OLD LIN,Bravo,A,7.0,11.0,False,True
1,OLD LIN,Dominguez B.,A,,,False,True
1,GIALLOROSSI,Maignan,P,6.0,7.0,True,False
1,GIALLOROSSI,Angelino,D,5.5,5.0,True,False
1,GIALLOROSSI,Vasquez,D,6.0,6.0,True,False
1,GIALLOROSSI,Valeri,D,6.0,6.0,True,False
1,GIALLOROSSI,Maldini,C,6.0,6.0,True,False
1,GIALLOROSSI,Calhanoglu,C,7.5,13.5,True,False
1,GIALLOROSSI,Vlasic,C,6.5,6.5,True,False
1,GIALLOROSSI,Stengs,C,,,False,False
