giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
1,NEVER IWOMAN,ROMAZDA,home,2,1,W,75.5,433,1.0,2.0
1,ROMAZDA,NEVER IWOMAN,away,1,2,L,67.0,343,,
1,OLD LIN,GIALLOROSSI,home,2,2,D,74.5,343,,2.0
1,GIALLOROSSI,OLD LIN,away,2,2,D,73.5,343,,
1,ROMOLO&ROMINA,ROMABOY,home,2,2,D,76.0,442,0.5,2.0
1,ROMABOY,ROMOLO&ROMINA,away,2,2,D,75.0,433,1.0,
1,NO ONE,NI99ER NO.1,home,1,2,L,67.5,442,0.5,2.0
1,NI99ER NO.1,NO ONE,away,2,1,W,72.0,433,2.0,
1,LUCKY LUKE,F-22,home,1,1,D,71.5,343,,2.0
1,F-22,LUCKY LUKE,away,1,1,D,69.0,343,,
2,GIALLOROSSI,NEVER IWOMAN,home,2,2,D,72.5,343,,2.0
2,NEVER IWOMAN,GIALLOROSSI,away,2,2,D,72.0,433,1.0,
2,NI99ER NO.1,LUCKY LUKE,home,1,1,D,69.0,433,,2.0
2,LUCKY LUKE,NI99ER NO.1,away,1,1,D,70.5,343,,
2,ROMABOY,NO ONE,home,3,0,W,79.0,433,2.0,2.0
2,NO ONE,ROMABOY,away,0,3,L,63.5,442,1.0,
2,ROMAZDA,ROMOLO&ROMINA,home,1,2,L,67.5,433,0.5,2.0
2,ROMOLO&ROMINA,ROMAZDA,away,2,1,W,77.0,442,0.5,
2,F-22,OLD LIN,home,2,1,W,75.0,343,,2.0
2,OLD LIN,F-22,away,1,2,L,68.5,343,,
3,NEVER IWOMAN,F-22,home,2,2,D,74.5,433,0.5,2.0
3,F-22,NEVER IWOMAN,away,2,2,D,74.0,343,,
3,OLD LIN,NI99ER NO.1,home,4,1,W,85.5,343,,2.0
3,NI99ER NO.1,OLD LIN,away,1,4,L,71.5,433,0.5,
3,ROMOLO&ROMINA,GIALLOROSSI,home,2,2,D,76.5,442,0.5,2.0
3,GIALLOROSSI,ROMOLO&ROMINA,away,2,2,D,72.5,433,2.0,
3,ROMAZDA,ROMABOY,home,2,1,W,77.5,343,,2.0
3,ROMABOY,ROMAZDA,away,1,2,L,66.0,433,1.0,
3,LUCKY LUKE,NO ONE,home,1,1,D,68.5,343,,2.0
3,NO ONE,LUCKY LUKE,away,1,1,D,69.0,442,1.0,
4,GIALLOROSSI,ROMAZDA,home,2,1,W,74.0,343,,2.0
4,ROMAZDA,GIALLOROSSI,away,1,2,L,68.5,343,,
4,NO ONE,OLD LIN,home,2,1,W,75.0,442,0.5,2.0
4,OLD LIN,NO ONE,away,1,2,L,69.5,442,,
4,NI99ER NO.1,NEVER IWOMAN,home,1,1,D,70.5,433,0.5,2.0
4,NEVER IWOMAN,NI99ER NO.1,away,1,1,D,71.0,532,0.5,
4,ROMABOY,LUCKY LUKE,home,2,1,W,77.5,442,3.0,2.0
4,LUCKY LUKE,ROMABOY,away,1,2,L,71.5,343,,
4,F-22,ROMOLO&ROMINA,home,1,2,L,66.0,343,,2.0
4,ROMOLO&ROMINA,F-22,away,2,1,W,75.5,343,,
5,NEVER IWOMAN,NO ONE,home,3,1,W,80.5,433,0.5,2.0
5,NO ONE,NEVER IWOMAN,away,1,3,L,67.5,442,1.0,
5,OLD LIN,LUCKY LUKE,home,1,0,W,67.0,343,,2.0
5,LUCKY LUKE,OLD LIN,away,0,1,L,62.5,343,,
5,GIALLOROSSI,ROMABOY,home,1,0,W,66.0,343,,2.0
5,ROMABOY,GIALLOROSSI,away,0,1,L,65.5,442,0.5,
5,ROMOLO&ROMINA,NI99ER NO.1,home,2,1,W,76.0,433,0.5,2.0
5,NI99ER NO.1,ROMOLO&ROMINA,away,1,2,L,68.5,433,0.5,
5,ROMAZDA,F-22,home,3,0,W,83.0,343,,2.0
5,F-22,ROMAZDA,away,0,3,L,57.5,343,,
