giornata,team,player,position,voto,fantavoto,active,on_bench
1,11 CRISTANTE UNITED,Leali,P,6.5,5.5,True,False
1,11 CRISTANTE UNITED,Ehizibue,D,5.5,5.5,True,False
1,11 CRISTANTE UNITED,N'Dicka,D,6.0,6.0,True,False
1,11 CRISTANTE UNITED,Bastoni,D,5.5,5.5,True,False
1,11 CRISTANTE UNITED,Aebischer,C,5.0,5.0,True,False
1,11 CRISTANTE UNITED,Politano,C,6.5,6.5,True,False
1,11 CRISTANTE UNITED,Da Cunha,C,6.0,6.0,True,False
1,11 CRISTANTE UNITED,Calhanoglu,C,7.5,13.5,True,False
1,11 CRISTANTE UNITED,Castro S.,A,5.5,5.5,True,False
1,11 CRISTANTE UNITED,Thuram,A,7.0,10.0,True,False
1,11 CRISTANTE UNITED,Meister,A,6.0,6.0,True,False
1,11 CRISTANTE UNITED,Siegrist,P,,,False,True
1,11 CRISTANTE UNITED,Dimarco,D,6.5,7.5,False,True
1,11 CRISTANTE UNITED,Kalulu,D,5.5,5.5,False,True
1,11 CRISTANTE UNITED,Barella,C,5.5,5.5,False,True
1,11 CRISTANTE UNITED,Juan Jesus,D,,,False,True
1,11 CRISTANTE UNITED,Diego Carlos,D,,,False,True
1,11 CRISTANTE UNITED,Baturina,C,,,False,True
1,11 CRISTANTE UNITED,Moreno Alb.,D,,,False,True
1,11 CRISTANTE UNITED,Nzola,A,6.0,6.0,False,True
1,11 CRISTANTE UNITED,Musah,C,6.0,6.0,False,True
1,11 CRISTANTE UNITED,Brescianini,C,6.0,6.0,False,True
1,11 CRISTANTE UNITED,Bravo,A,7.0,11.0,False,True
1,11 CRISTANTE UNITED,Bonny,A,5.5,5.5,False,True
1,U CAN U UP,Provedel,P,6.0,5.0,True,False
1,U CAN U UP,Tavares N.,D,5.5,5.5,True,False
1,U CAN U UP,Zortea,D,5.5,5.5,True,False
1,U CAN U UP,Di Lorenzo,D,6.5,6.5,True,False
1,U CAN U UP,Vandeputte,C,5.5,5.5,True,False
1,U CAN U UP,Pasalic,C,6.5,6.5,True,False
1,U CAN U UP,Orsolini,C,5.5,5.5,True,False
1,U CAN U UP,Koopmeiners,C,5.0,4.5,True,False
1,U CAN U UP,Gimenez,A,5.0,5.0,True,False
1,U CAN U UP,Hojlund,A,7.0,11.0,True,False
1,U CAN U UP,Yildiz,A,7.0,11.0,True,False
1,U CAN U UP,Mandas,P,,,False,True
1,U CAN U UP,Israel,P,6.0,7.0,False,True
1,U CAN U UP,Gatti,D,6.0,6.0,False,True
1,U CAN U UP,Beukema,D,7.0,10.0,False,True
1,U CAN U UP,Gabbia,D,6.5,6.5,False,True
1,U CAN U UP,Miranda J.,D,5.5,5.0,False,True
1,U CAN U UP,Sohm,C,5.5,5.5,False,True
1,U CAN U UP,Frattesi,C,,,False,True
1,U CAN U UP,Ederson D.S.,C,,,False,True
1,U CAN U UP,Lucca,A,6.0,6.0,False,True
1,U CAN U UP,Camarda,A,5.5,5.5,False,True
1,U CAN U UP,Circati,D,6.0,6.0,False,True
1,U CAN U UP,Fazzini,C,6.5,6.5,False,True
1,U CAN U UP,Douvikas,A,6.0,6.0,False,True
1,LABORATORIO DATI,Caprile,P,7.0,8.0,True,False
1,LABORATORIO DATI,Valeri,D,6.0,6.0,True,False
1,LABORATORIO DATI,Gila,D,6.5,6.5,True,False
1,LABORATORIO DATI,Delprato,D,5.5,5.5,True,False
1,LABORATORIO DATI,Dodò,D,6.0,6.0,True,False
1,LABORATORIO DATI,El Shaarawy,C,6.0,6.0,True,False
1,LABORATORIO DATI,Rabiot,C,6.5,6.5,True,False
1,LABORATORIO DATI,Odgaard,C,6.0,6.0,True,False
1,LABORATORIO DATI,De Roon,C,7.0,7.0,True,False
1,LABORATORIO DATI,Pinamonti,A,6.0,5.5,True,False
1,LABORATORIO DATI,David,A,6.5,7.5,True,False
1,LABORATORIO DATI,Sommer,P,5.0,1.0,False,True
1,LABORATORIO DATI,Suzuki,P,5.0,3.0,False,True
1,LABORATORIO DATI,Martin,D,6.0,6.0,False,True
1,LABORATORIO DATI,Luperto,D,6.5,6.5,False,True
1,LABORATORIO DATI,Gaspar K.,D,4.5,4.5,False,True
1,LABORATORIO DATI,Palma,D,,,False,True
1,LABORATORIO DATI,Mandragora,C,6.0,6.0,False,True
1,LABORATORIO DATI,Neres,C,6.0,6.0,False,True
