giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
1,11 CRISTANTE UNITED,U CAN U UP,home,2,1,W,77.0,343,,2.0
1,U CAN U UP,11 CRISTANTE UNITED,away,1,2,L,71.5,343,,
1,LABORATORIO DATI,KKK,home,2,1,W,73.5,442,1.0,2.0
1,KKK,LABORATORIO DATI,away,1,2,L,68.5,433,1.0,
1,CUORE LAZIALE,TEAM ZTOTTI,home,3,2,W,78.0,343,,2.0
1,TEAM ZTOTTI,CUORE LAZIALE,away,2,3,L,74.5,433,,
1,BTGCBUGC,TEAM JODIODDR,home,2,0,W,74.0,343,,2.0
1,TEAM JODIODDR,BTGCBUGC,away,0,2,L,61.0,433,,
1,PREMIER LEAGUE SLOPS,TEAM ASBOVE,home,1,0,W,71.0,343,,2.0
1,TEAM ASBOVE,PREMIER LEAGUE SLOPS,away,0,1,L,64.5,343,,
2,KKK,11 CRISTANTE UNITED,home,2,1,W,77.5,442,2.0,2.0
2,11 CRISTANTE UNITED,KKK,away,1,2,L,70.0,343,,
2,TEAM JODIODDR,PREMIER LEAGUE SLOPS,home,4,1,W,85.0,442,1.0,2.0
2,PREMIER LEAGUE SLOPS,TEAM JODIODDR,away,1,4,L,67.0,433,1.0,
2,TEAM ZTOTTI,BTGCBUGC,home,1,3,L,69.0,442,,2.0
2,BTGCBUGC,TEAM ZTOTTI,away,3,1,W,83.5,343,,
2,U CAN U UP,CUORE LAZIALE,home,1,1,D,66.0,433,,2.0
2,CUORE LAZIALE,U CAN U UP,away,1,1,D,67.5,433,0.5,
2,TEAM ASBOVE,LABORATORIO DATI,home,2,2,D,75.5,433,0.5,2.0
2,LABORATORIO DATI,TEAM ASBOVE,away,2,2,D,74.0,433,0.5,
3,11 CRISTANTE UNITED,TEAM ASBOVE,home,1,1,D,66.0,343,,2.0
3,TEAM ASBOVE,11 CRISTANTE UNITED,away,1,1,D,67.5,433,,
3,LABORATORIO DATI,TEAM JODIODDR,home,0,4,L,63.5,433,,2.0
3,TEAM JODIODDR,LABORATORIO DATI,away,4,0,W,87.5,442,2.0,
3,CUORE LAZIALE,KKK,home,2,2,D,77.5,433,1.0,2.0
3,KKK,CUORE LAZIALE,away,2,2,D,72.0,442,1.0,
3,U CAN U UP,TEAM ZTOTTI,home,1,2,L,71.0,433,0.5,2.0
3,TEAM ZTOTTI,U CAN U UP,away,2,1,W,72.0,442,1.0,
3,PREMIER LEAGUE SLOPS,BTGCBUGC,home,2,2,D,75.0,433,0.5,2.0
3,BTGCBUGC,PREMIER LEAGUE SLOPS,away,2,2,D,75.0,442,1.0,
4,KKK,U CAN U UP,home,1,2,L,68.5,343,,2.0
4,U CAN U UP,KKK,away,2,1,W,72.5,433,0.5,
4,BTGCBUGC,LABORATORIO DATI,home,2,2,D,76.0,433,0.5,2.0
4,LABORATORIO DATI,BTGCBUGC,away,2,2,D,74.0,433,,
4,TEAM JODIODDR,11 CRISTANTE UNITED,home,0,4,L,65.0,442,0.5,2.0
4,11 CRISTANTE UNITED,TEAM JODIODDR,away,4,0,W,85.0,532,3.0,
4,TEAM ZTOTTI,PREMIER LEAGUE SLOPS,home,0,1,L,63.5,442,1.0,2.0
4,PREMIER LEAGUE SLOPS,TEAM ZTOTTI,away,1,0,W,71.5,433,0.5,
4,TEAM ASBOVE,CUORE LAZIALE,home,2,0,W,74.5,433,1.0,2.0
4,CUORE LAZIALE,TEAM ASBOVE,away,0,2,L,63.0,433,,
5,11 CRISTANTE UNITED,BTGCBUGC,home,1,0,W,69.5,532,0.5,2.0
