participant,role,player,club,costo,credits_residui
BTGCBUGC,P,Perin,Juv,6.0,0.0
Old Lin,P,Lezzerini,Fio,1.0,0.0
BTGCBUGC,P,Milinkovic-Savic V.,Nap,9.0,0.0
Old Lin,P,De Gea,Fio,41.0,0.0
BTGCBUGC,P,Di Gregorio,Juv,46.0,0.0
Old Lin,P,Christensen O.,Fio,1.0,0.0
BTGCBUGC,D,Cuadrado,Pis,4.0,0.0
Old Lin,D,Zappacosta,Ata,6.0,0.0
BTGCBUGC,D,Mancini,Rom,16.0,0.0
Old Lin,D,Djimsiti,Ata,3.0,0.0
BTGCBUGC,D,Pavlovic,Mil,16.0,0.0
Old Lin,D,Zappa,Cag,3.0,0.0
BTGCBUGC,D,Scalvini,Ata,15.0,0.0
Old Lin,D,Ismajli,Tor,3.0,0.0
BTGCBUGC,D,Bisseck,Int,6.0,0.0
Old Lin,D,Baschirotto,Cre,17.0,0.0
BTGCBUGC,D,Palestra,Cag,10.0,0.0
Old Lin,D,Doig,Sas,3.0,0.0
BTGCBUGC,D,Ramon,Com,3.0,0.0
Old Lin,D,Ghilardi,Rom,2.0,0.0
BTGCBUGC,D,Zè Pedro,Cag,1.0,0.0
Old Lin,D,Circati,Par,2.0,0.0
BTGCBUGC,C,Zaccagni,Laz,71.0,0.0
Old Lin,C,Gagliardini,Ver,4.0,0.0
BTGCBUGC,C,Locatelli,Juv,8.0,0.0
Old Lin,C,Orsolini,Bol,77.0,0.0
BTGCBUGC,C,Nicolussi Caviglia,Par,1.0,0.0
Old Lin,C,De Bruyne,Nap,55.0,0.0
BTGCBUGC,C,Saelemaekers,Mil,21.0,0.0
Old Lin,C,Strefezza,Par,7.0,0.0
BTGCBUGC,C,Maldini,Laz,1.0,0.0
Old Lin,C,Sohm,Bol,5.0,0.0
BTGCBUGC,C,Brescianini,Fio,7.0,0.0
Old Lin,C,Casadei,Tor,4.0,0.0
BTGCBUGC,C,Tramoni M.,Pis,3.0,0.0
Old Lin,C,Prati,Tor,2.0,0.0
BTGCBUGC,C,Casadei,Tor,6.0,0.0
Old Lin,C,Pierotti,Lec,3.0,0.0
BTGCBUGC,A,Zapata D.,Tor,3.0,0.0
Old Lin,A,Bonazzoli,Cre,14.0,0.0
BTGCBUGC,A,Kean,Fio,98.0,0.0
Old Lin,A,Berardi,Sas,60.0,0.0
BTGCBUGC,A,Vardy,Cre,31.0,0.0
Old Lin,A,Martinez L.,Int,117.0,0.0
BTGCBUGC,A,Malen,Rom,25.0,0.0
Old Lin,A,De Ketelaere,Ata,49.0,0.0
BTGCBUGC,A,Dia,Laz,2.0,0.0
Old Lin,A,Cheddira,Lec,3.0,0.0
BTGCBUGC,A,Douvikas,Com,31.0,0.0
Old Lin,A,Dominguez B.,Bol,4.0,0.0
Laboratorio Dati,P,Radunovic,Cag,1.0,10.0
Giallorossi,P,Terracciano,Mil,1.0,0.0
Laboratorio Dati,P,Sommer,Int,43.0,10.0
Giallorossi,P,Maignan,Mil,46.0,0.0
Laboratorio Dati,P,Caprile,Cag,4.0,10.0
Giallorossi,P,Torriani,Mil,1.0,0.0
Laboratorio Dati,D,Luperto,Cre,11.0,10.0
Giallorossi,D,Estupinan,Mil,19.0,0.0
Laboratorio Dati,D,Martin,Gen,9.0,10.0
Giallorossi,D,Dumfries,Int,6.0,0.0
Laboratorio Dati,D,Dumfries,Int,5.0,10.0
Giallorossi,D,Vasquez,Gen,6.0,0.0
Laboratorio Dati,D,Gila,Laz,5.0,10.0
Giallorossi,D,Valeri,Par,19.0,0.0
Laboratorio Dati,D,Valeri,Par,8.0,10.0
Giallorossi,D,Bartesaghi,Mil,10.0,0.0
Laboratorio Dati,D,Dodò,Fio,22.0,10.0
Giallorossi,D,Kelly L.,Juv,7.0,0.0
